CNTY_NAME,PREC,JoinField,PresDem,PresRep,PresTot,SenDem,SenRep,SenTot,HouseDem,HouseRep,HouseTot
Washoe,SPARKS 7562,Washoe-SPARKS 7562,0,0,0,0,0,0,0,0,0
Washoe,SPARKS 7563,Washoe-SPARKS 7563,24,33,59,24,29,59,24,31,57
Washoe,SPARKS 7565,Washoe-SPARKS 7565,3,3,6,4,2,6,2,4,6
Washoe,SPARKS 7573,Washoe-SPARKS 7573,175,41,221,174,29,218,53,117,209
Washoe,SPARKS 7576,Washoe-SPARKS 7576,227,698,946,235,663,940,222,641,912
Washoe,SPARKS 7578,Washoe-SPARKS 7578,35,133,169,30,129,168,41,108,160
Washoe,SPARKS 7579,Washoe-SPARKS 7579,72,65,137,71,58,136,42,61,123
Washoe,SPARKS 7583,Washoe-SPARKS 7583,0,0,0,0,0,0,0,0,0
Washoe,SPARKS 7584,Washoe-SPARKS 7584,2,0,2,2,0,2,2,0,2
Washoe,SPARKS 7585,Washoe-SPARKS 7585,0,1,1,0,1,1,0,1,1
Washoe,SPARKS 7591,Washoe-SPARKS 7591,66,86,156,71,70,155,47,68,140
Washoe,SPARKS 9304,Washoe-SPARKS 9304,0,0,0,0,0,0,0,0,0
Washoe,SPARKS 9310,Washoe-SPARKS 9310,0,0,0,0,0,0,0,0,0
Washoe,SPARKS 9401,Washoe-SPARKS 9401,0,0,0,0,0,0,0,0,0
Washoe,SPARKS 9402,Washoe-SPARKS 9402,0,0,0,0,0,0,0,0,0
Washoe,SPARKS 9404,Washoe-SPARKS 9404,0,0,0,0,0,0,0,0,0
Washoe,SPARKS 9406,Washoe-SPARKS 9406,0,0,0,0,0,0,0,0,0
Washoe,SPARKS 9407,Washoe-SPARKS 9407,0,0,0,0,0,0,0,0,0
Washoe,SPARKS 9409,Washoe-SPARKS 9409,0,0,0,0,0,0,0,0,0
Washoe,SPARKS 9410,Washoe-SPARKS 9410,0,0,0,0,0,0,0,0,0
Washoe,SPARKS 9411,Washoe-SPARKS 9411,0,0,0,0,0,0,0,0,0
Washoe,SPARKS 9412,Washoe-SPARKS 9412,0,0,0,0,0,0,0,0,0
Washoe,SPARKS 9427,Washoe-SPARKS 9427,0,0,0,0,0,0,0,0,0
Washoe,SPARKS 9428,Washoe-SPARKS 9428,0,0,0,0,0,0,0,0,0
Washoe,SPARKS 9503,Washoe-SPARKS 9503,1,1,2,0,1,1,0,1,1
Washoe,SPARKS 9516,Washoe-SPARKS 9516,0,0,0,0,0,0,0,0,0
Washoe,SPARKS 9524,Washoe-SPARKS 9524,0,0,0,0,0,0,0,0,0
Washoe,SPARKS 9531,Washoe-SPARKS 9531,0,0,0,0,0,0,0,0,0
Washoe,SPARKS 9532,Washoe-SPARKS 9532,0,0,0,0,0,0,0,0,0
Washoe,SPARKS 9553,Washoe-SPARKS 9553,0,0,0,0,0,0,0,0,0
Washoe,SPARKS 9558,Washoe-SPARKS 9558,0,0,0,0,0,0,0,0,0
Washoe,SPARKS 9559,Washoe-SPARKS 9559,0,0,0,0,0,0,0,0,0
White Pine,Precinct 1,White Pine-Precinct 1,136,380,534,127,357,530,98,355,516
White Pine,Precinct 10,White Pine-Precinct 10,28,131,161,27,128,161,11,121,146
White Pine,Precinct 2,White Pine-Precinct 2,81,291,381,76,274,377,254,71,358
White Pine,Precinct 3,White Pine-Precinct 3,121,339,471,119,301,469,108,278,438
White Pine,Precinct 4,White Pine-Precinct 4,113,399,524,116,374,523,62,378,497
White Pine,Precinct 5,White Pine-Precinct 5,182,970,1174,169,910,1170,154,894,1131
White Pine,Precinct 6,White Pine-Precinct 6,100,380,497,96,363,496,74,352,482
White Pine,Precinct 7,White Pine-Precinct 7,45,155,202,46,140,202,35,142,197
White Pine,Precinct 8,White Pine-Precinct 8,16,262,287,18,253,287,15,246,280
White Pine,Precinct 9,White Pine-Precinct 9,61,57,120,52,60,119,30,65,109
