TOWN,COUNTY,PresDem,PresRep,PresTot
Tomhegan,Somerset,0,0,0
Lily Bay,Piscataquis,0,0,0
Freeport,Cumberland,4330,1718,6283
Magalloway,Oxford,0,0,0
Bowdoin College Grant West,Piscataquis,0,0,0
Chesterville,Franklin,303,520,846
Linneus,Aroostook,80,452,542
T10 R3 WELS,Aroostook,0,0,0
T15 R10 WELS,Aroostook,0,0,0
Berry,Washington,0,0,0
Lake View Plantation,Piscataquis,50,86,141
T3 R7 WELS,Penobscot,0,0,0
T5 R14 WELS,Piscataquis,0,0,0
T9 R9 WELS,Piscataquis,0,0,0
Waterboro,York,1947,2680,4751
T14 R7 WELS,Aroostook,0,0,0
Edgecomb,Lincoln,526,336,889
Oakfield,Aroostook,114,303,426
T4 R7 WELS,Penobscot,0,0,0
Chelsea,Kennebec,579,990,1610
Harfords Point,Piscataquis,0,0,0
T12 R8 WELS,Aroostook,0,0,0
Smyrna,Aroostook,48,124,175
Dead River,Somerset,0,0,0
T4 R12 WELS,Piscataquis,0,0,0
Chesuncook,Piscataquis,0,0,0
T6 R11 WELS,Piscataquis,0,0,0
Jefferson,Lincoln,751,972,1787
T10 R11 WELS,Piscataquis,0,0,0
China,Kennebec,1059,1498,2656
Limestone,Aroostook,285,453,756
Swan's Island,Hancock,132,149,294
Harpswell,Cumberland,2351,1458,3921
Eustis/Twps,Franklin,193,309,522
Beaver Cove,Piscataquis,59,56,117
Burlington,Penobscot,59,185,249
Frenchtown,Piscataquis,0,0,0
Nobleboro,Lincoln,718,612,1368
Squaretown,Somerset,0,0,0
T7 R10 WELS,Piscataquis,0,0,0
Merrill Strip,Franklin,0,0,0
Johnson Mountain,Somerset,0,0,0
Newcastle,Lincoln,942,394,1392
Beattie,Franklin,0,0,0
Long Island,Cumberland,138,58,202
T5 R7 BKP WKR,Somerset,0,0,0
Bingham/Twps,Somerset,168,390,575
Cutler,Washington,98,240,343
Etna,Penobscot,204,513,731
Pownal,Cumberland,737,500,1266
Durham,Androscoggin,1455,1425,3005
Anson,Somerset,383,898,1317
Cyr Plantation,Aroostook,26,32,59
Athens,Somerset,182,354,547
T6 R12 WELS,Piscataquis,0,0,0
T8 R16 WELS,Somerset,0,0,0
Ebeemee,Piscataquis,0,0,0
Penobscot,Hancock,487,325,846
Winn,Penobscot,52,158,212
T15 R6 WELS Twp,Aroostook,0,2,3
T36 MD BPP,Washington,0,0,0
West Middlesex Canal Grant,Somerset,0,0,0
Corinna,Penobscot,330,882,1242
T8 R7 WELS,Penobscot,0,0,0
Pierce Pond,Somerset,0,0,0
Mapleton,Aroostook,369,792,1195
Orrington,Penobscot,1122,1489,2674
Morrill,Waldo,255,361,634
T24 MD BPP,Washington,0,0,0
Leeds,Androscoggin,505,904,1451
Cornish,York,437,517,980
T3 R1 NBPP,Penobscot,0,0,0
Lovell,Oxford,438,387,851
T35 MD BPP,Hancock,0,0,0
T18 MD BPP,Washington,0,0,0
T8 R3 WELS,Aroostook,0,0,0
Manchester,Kennebec,787,878,1719
T11 R4 WELS Twp,Aroostook,10,12,22
T5 R7 WELS,Penobscot,0,0,0
Day Block Twp,Washington,3,4,9
Columbia Falls,Washington,98,236,344
Augusta,Kennebec,5386,4398,10112
Robbinston,Washington,118,239,370
Thorndike,Somerset,212,240,467
Southport,Lincoln,299,159,472
Orient,Aroostook,19,64,85
T14 R14 WELS,Aroostook,0,0,0
Litchfield,Kennebec,865,1390,2329
New Gloucester,Cumberland,1741,1932,3799
T5 R12 WELS,Piscataquis,0,0,0
TA R10 WELS,Piscataquis,0,0,0
Hollis,York,1340,1699,3136
Vinalhaven,Knox,468,333,827
T6 R15 WELS,Piscataquis,0,0,0
Oqiton,Hancock,0,0,0
Big Moose,Piscataquis,0,0,0
T15 R15 WELS,Aroostook,0,0,0
Eastbrook,Hancock,89,162,259
Freedom,Waldo,207,250,489
Alna,Lincoln,324,192,541
Orland,Hancock,747,765,1559
Mount Katahdin,Piscataquis,0,0,0
Bridgewater,Aroostook,77,220,304
Wayne,Kennebec,506,345,878
Jackson,Waldo,145,195,356
T13 R16 WELS,Aroostook,0,0,0
Jackman/Twps,Somerset,127,401,542
Bradley,Penobscot,383,551,956
T11 R15 WELS,Aroostook,0,0,0
T18 R10 WELS,Aroostook,0,0,0
T43 MD BPP,Washington,0,0,0
Alder Brook,Somerset,0,0,0
T14 R10 WELS,Aroostook,0,0,0
Little W,Somerset,0,0,0
Clayton Lake,Aroostook,0,0,0
Jonesport,Washington,242,525,777
Glenwood Plantation,Aroostook,2,2,4
Pembroke,Washington,204,289,506
Lowelltown,Franklin,0,0,0
T12 R11 WELS,Aroostook,0,0,0
Parmachenee,Oxford,0,0,0
North Berwick,York,1453,1726,3282
Reed Plantation,Aroostook,17,68,87
Katahdin Iron Works,Piscataquis,0,0,0
Sanford,York,5367,5497,11213
T13 R12 WELS,Aroostook,0,0,0
Batchelders Grant,Oxford,0,0,0
Forkstown,Aroostook,0,0,0
Bald Mountain T4 R3,Somerset,0,0,0
King & Bartlett,Somerset,0,0,0
Springfield,Penobscot,33,150,188
Mariaville,Hancock,135,201,342
Canton,Oxford,169,385,571
Castine,Hancock,392,137,552
T13 R8 WELS,Aroostook,0,0,0
Masardis,Aroostook,37,84,127
Newport,Penobscot,605,1227,1874
T6 R18 WELS,Somerset,0,0,0
Moose River,Somerset,27,96,127
Saint Albans,Somerset,325,873,1233
T6 R13 WELS,Piscataquis,0,0,0
T1 R10 WELS,Piscataquis,0,0,0
Vassalboro,Kennebec,1110,1496,2707
Swanville,Waldo,379,488,903
Corinth,Penobscot,373,1201,1612
Presque Isle,Aroostook,1850,2238,4197
T13 R11 WELS,Aroostook,0,0,0
T16 R5 WELS,Aroostook,0,0,0
Willimantic,Piscataquis,21,72,96
Vanceboro,Washington,32,55,88
Caratunk,Somerset,23,38,62
Belmont,Waldo,265,338,619
Denmark,Oxford,408,405,838
Cape Elizabeth,Cumberland,5289,1395,6933
T8 R3 NBPP,Washington,0,0,0
Carroll Plantation,Penobscot,15,68,86
Wells,York,4675,3598,8531
Sorrento,Hancock,88,108,199
Coburn Gore,Franklin,0,0,0
T3 R8 WELS,Penobscot,0,0,0
Randolph,Kennebec,456,539,1034
Kossuth,Washington,0,0,0
Benedicta Twp/Silver Ridge Twp,Aroostook,31,135,173
Caribou/Connor Twp,Aroostook,1553,2336,4017
Eagle Lake/T15 R6 WELS Twp,Aroostook,189,283,489
Hodgdon/Cary Twp,Aroostook,171,673,859
Saint Agatha/Sinclair,Aroostook,255,358,641
Van Buren/Van Buren Cove Twp,Aroostook,429,448,914
Weston/Bancroft Twp,Aroostook,46,164,212
Phillips/Madrid Twp,Franklin,238,421,688
Ellsworth/Fletchers Landing Twp,Hancock,2406,2412,5031
Gouldsboro/T7 SD Twp,Hancock,506,628,1162
Albion/Unity Twp,Kennebec,407,843,1286
Bristol/Louds Island Twp,Lincoln,1326,807,2193
Bethel/Mason Twp,Oxford,988,777,1833
Woodstock/Milton Twp,Oxford,382,548,950
Lagrange/Orneville Twp,Penobscot,97,252,356
Mattawamkeag/Molunkus Twp,Aroostook,128,287,430
Milford/Greenfield Twp,Penobscot,845,998,1907
Old Town/Argyle Twp,Penobscot,2267,1745,4145
Guilford/Kingsbury Plt,Piscataquis,271,502,800
Rockwood Strip Twp,Somerset,74,149,231
Solon/Concord Twp,Somerset,222,385,631
Cherryfield/T10 SD Twp,Hancock,226,423,684
Danforth/Brookton Twp,Washington,101,314,428
Dennysville/Edmunds Twp,Washington,115,206,337
Princeton/Big Lake Twp,Washington,122,361,495
Topsfield/Codyville Twp,Washington,20,101,124
