PCTNUM,PRECINCTNA,CDE_COUNTY,COUNTYNAME,Registered Voters,Harris,Trump,Oliver,Stein,Write-in,PresTot,Gallego,Lake,Quintana,Write-in,SenTot,Engel,Ciscomani,Eastwood,Write-in,"GRIJALVA, RAÃšL M.","BUTIEREZ SR., DANIEL FRANCIS",Write-in,"SHAH, AMISH","SCHWEIKERT, DAVID",Write-in,"NEZ, JONATHAN","CRANE, ELI",Write-in,"ANSARI, YASSAMIN","ZINK, JEFF","AVERSA, ALAN",Write-in,"STANTON, GREG","COOPER, KELLY","BECK-JONES, VINCENT",Write-in,"SCHAFFNER, KATRINA","BIGGS, ANDY",Write-in,"WHITTEN, GREGORY","HAMADEH, ABRAHAM ""ABE""",Write-in,"SMITH, QUACY","GOSAR, PAUL",Write-in
SC0008,Nogales 8,SC,Santa Cruz,2265,866,374,5,4,0,1249,898,296,44,0,1238,0,0,0,0,929,300,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0009,Nogales 9,SC,Santa Cruz,361,151,85,1,3,0,240,165,65,7,0,237,0,0,0,0,158,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0010,Nogales 10,SC,Santa Cruz,1217,418,225,3,6,0,652,447,172,23,0,642,0,0,0,0,449,181,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0011,Tubac 11,SC,Santa Cruz,2093,1062,658,2,3,0,1725,1074,619,23,1,1717,0,0,0,0,1014,676,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0012,Nogales 12,SC,Santa Cruz,743,235,96,0,2,0,333,246,76,11,0,333,0,0,0,0,249,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0013,Santa Cruz 13,SC,Santa Cruz,463,157,138,1,3,0,299,167,113,14,0,294,0,0,0,0,166,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0014,Patagonia 14,SC,Santa Cruz,939,486,248,3,5,0,742,489,226,23,0,738,0,0,0,0,495,230,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0015,Sonoita 15,SC,Santa Cruz,966,247,551,3,3,0,804,260,527,14,0,801,0,0,0,0,238,552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0016,Nogales 16,SC,Santa Cruz,591,155,78,0,1,0,234,173,53,6,1,233,0,0,0,0,164,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0017,Calabasas 17,SC,Santa Cruz,3468,1195,871,14,7,0,2087,1300,686,70,1,2057,0,0,0,0,1305,733,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0018,Nogales 18,SC,Santa Cruz,621,278,148,1,3,0,430,291,130,12,1,434,0,0,0,0,299,128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0019,Baca 19,SC,Santa Cruz,3180,1081,711,11,4,0,1807,1190,530,76,5,1801,0,0,0,0,1217,576,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0020,Nogales 20,SC,Santa Cruz,1265,412,176,0,2,0,590,446,133,15,0,594,0,0,0,0,456,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0021,Peck Canyon 21,SC,Santa Cruz,2562,819,582,8,5,0,1414,899,443,49,0,1391,0,0,0,0,882,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0022,Potrero 22,SC,Santa Cruz,569,172,100,0,2,0,274,173,86,11,0,270,0,0,0,0,188,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0023,Mountain 23,SC,Santa Cruz,49,17,22,0,0,0,39,17,22,0,0,39,0,0,0,0,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0024,Lake Patagonia 24,SC,Santa Cruz,155,66,63,0,0,0,129,66,53,6,1,126,0,0,0,0,66,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YA0301,301 - GRANITE,YA,Yavapai,5072,1574,2904,29,14,1,4522,1687,2731,60,2,4480,0,0,0,0,0,0,0,0,0,0,1567,2844,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YA0302,302 - EAGLE,YA,Yavapai,3952,1398,2029,19,12,0,3458,1478,1897,48,1,3424,0,0,0,0,0,0,0,0,0,0,1400,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YA0303,303 - COURT,YA,Yavapai,6885,2471,3251,34,28,0,5784,2570,3005,119,2,5696,0,0,0,0,0,0,0,0,0,0,2524,3093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YA0304,304 - GOLF,YA,Yavapai,7209,2670,3673,36,18,3,6400,2805,3436,92,0,6333,0,0,0,0,0,0,0,0,0,0,2695,3556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
