County,Precinct,JoinField,Registered Voters,Harris,Trump,Total
Charleston,Wadmalaw Island 1,Charleston: Wadmalaw Island 1,1229,482,396,893
Charleston,Wadmalaw Island 2,Charleston: Wadmalaw Island 2,1278,572,357,950
Cherokee,Allens,Cherokee: Allens,991,72,683,759
Cherokee,Alma Mill,Cherokee: Alma Mill,1596,404,526,936
Cherokee,Antioch And Kings Creek,Cherokee: Antioch And Kings Creek,1418,97,995,1101
Cherokee,Ashworth,Cherokee: Ashworth,1192,96,837,938
Cherokee,Blacksburg Ward No. 1,Cherokee: Blacksburg Ward No 1,886,150,485,643
Cherokee,Blacksburg Ward No. 2,Cherokee: Blacksburg Ward No 2,1275,127,753,888
Cherokee,Draytonville,Cherokee: Draytonville,1569,195,939,1143
Cherokee,Ezells And Butler,Cherokee: Ezells And Butler,1541,162,1003,1178
Cherokee,Gaffney Ward No. 1,Cherokee: Gaffney Ward No 1,616,227,125,357
Cherokee,Gaffney Ward No. 2,Cherokee: Gaffney Ward No 2,1041,447,154,613
Cherokee,Gaffney Ward No. 3,Cherokee: Gaffney Ward No 3,989,495,147,644
Cherokee,Gaffney Ward No. 4,Cherokee: Gaffney Ward No 4,1279,402,458,868
Cherokee,Gaffney Ward No. 5,Cherokee: Gaffney Ward No 5,1011,246,446,697
Cherokee,Gaffney Ward No. 6,Cherokee: Gaffney Ward No 6,823,169,465,636
Cherokee,Goucher And Thicketty,Cherokee: Goucher And Thicketty,1275,133,902,1044
Cherokee,Grassy Pond,Cherokee: Grassy Pond,2291,331,1531,1874
Cherokee,Holly Grove-Buffalo,Cherokee: Holly Grove-Buffalo,1318,119,787,915
Cherokee,Limestone Mill,Cherokee: Limestone Mill,837,167,280,449
Cherokee,Littlejohn'S And Sarratt'S,Cherokee: Littlejohn's And Sarratt's,395,27,299,329
Cherokee,Macedonia,Cherokee: Macedonia,1789,272,1107,1392
Cherokee,Morgan,Cherokee: Morgan,1321,132,915,1056
Cherokee,Musgrove Mill,Cherokee: Musgrove Mill,1582,295,870,1177
Cherokee,Ninety Nine And Cherokee Falls,Cherokee: Ninety Nine And Cherokee Falls,896,61,635,706
Cherokee,Pleasant Grove,Cherokee: Pleasant Grove,941,319,367,694
Cherokee,Pleasant Meadows,Cherokee: Pleasant Meadows,791,372,153,531
Cherokee,Timber Ridge,Cherokee: Timber Ridge,942,79,695,776
Cherokee,White Plains,Cherokee: White Plains,1312,143,843,993
Cherokee,Wilkinsville And Metcalf,Cherokee: Wilkinsville And Metcalf,583,25,423,450
Cherokee,Woods,Cherokee: Woods,1134,131,792,926
Chester,Baldwin Mill,Chester: Baldwin Mill,1266,379,344,730
Chester,Baton Rouge,Chester: Baton Rouge,700,122,382,510
Chester,Beckhamville,Chester: Beckhamville,906,242,386,633
Chester,Blackstock,Chester: Blackstock,714,179,348,528
Chester,Chester Ward 1,Chester: Chester Ward 1,1608,661,366,1041
Chester,Chester Ward 2,Chester: Chester Ward 2,898,420,112,541
Chester,Chester Ward 3,Chester: Chester Ward 3,1497,506,497,1012
Chester,Chester Ward 4,Chester: Chester Ward 4,994,429,161,599
Chester,Chester Ward 5,Chester: Chester Ward 5,1152,252,556,819
Chester,Edgemoor,Chester: Edgemoor,1265,270,709,991
Chester,Eureka Mill,Chester: Eureka Mill,1625,617,438,1069
Chester,Fort Lawn,Chester: Fort Lawn,1616,388,743,1138
Chester,Great Falls,Chester: Great Falls,1098,235,333,574
Chester,Halsellville,Chester: Halsellville,190,71,80,152
Chester,Hazelwood,Chester: Hazelwood,819,160,444,609
Chester,Lando/Lansford,Chester: Lando/Lansford,1148,216,644,874
Chester,Lowrys,Chester: Lowrys,1026,200,574,786
Chester,Richburg,Chester: Richburg,1506,411,713,1137
Chester,Rodman,Chester: Rodman,1362,334,718,1063
Chester,Rossville,Chester: Rossville,477,71,272,346
Chester,Wilksburg,Chester: Wilksburg,525,190,208,401
Chesterfield,Angelus-Cararrh,Chesterfield: Angelus-Cararrh,657,145,378,527
Chesterfield,Bay Springs,Chesterfield: Bay Springs,374,29,241,279
Chesterfield,Black Creek,Chesterfield: Black Creek,505,97,234,336
Chesterfield,Brocks Mill,Chesterfield: Brocks Mill,1519,509,476,1001
Chesterfield,Cash,Chesterfield: Cash,1016,378,355,740
Chesterfield,Center Grove-Winzo,Chesterfield: Center Grove-Winzo,1111,314,371,688
Chesterfield,Cheraw No. 1,Chesterfield: Cheraw No 1,1321,352,561,924
Chesterfield,Cheraw No. 2,Chesterfield: Cheraw No 2,1034,331,386,720
Chesterfield,Cheraw No. 3,Chesterfield: Cheraw No 3,1553,577,300,897
Chesterfield,Cheraw No. 4,Chesterfield: Cheraw No 4,1255,441,429,880
Chesterfield,Courthouse,Chesterfield: Courthouse,1862,426,955,1402
Chesterfield,Dudley-Mangum,Chesterfield: Dudley-Mangum,907,152,555,708
Chesterfield,Grants Mill,Chesterfield: Grants Mill,1220,308,609,921
Chesterfield,Jefferson,Chesterfield: Jefferson,1763,407,812,1233
Chesterfield,Mcbee,Chesterfield: Mcbee,1572,346,739,1093
Chesterfield,Middendorf,Chesterfield: Middendorf,718,72,452,527
Chesterfield,Mt. Groghan,Chesterfield: Mt. Groghan,376,56,246,304
Chesterfield,Ousleydale,Chesterfield: Ousleydale,696,62,490,554
Chesterfield,Pageland No. 1,Chesterfield: Pageland No 1,1783,488,778,1278
Chesterfield,Pageland No. 2,Chesterfield: Pageland No 2,1652,412,643,1070
Chesterfield,Patrick,Chesterfield: Patrick,633,132,315,456
Chesterfield,Pee Dee,Chesterfield: Pee Dee,280,35,180,215
Chesterfield,Ruby,Chesterfield: Ruby,1009,249,505,762
Chesterfield,Shiloh,Chesterfield: Shiloh,621,125,367,494
Chesterfield,Snow Hill-Vaughn,Chesterfield: Snow Hill-Vaughn,531,77,301,378
Clarendon,Alcolu,Clarendon: Alcolu,0,286,315,607
Clarendon,Barrineau,Clarendon: Barrineau,0,43,357,404
Clarendon,Barrows Mill,Clarendon: Barrows Mill,0,23,92,115
Clarendon,Bloomville,Clarendon: Bloomville,0,102,229,334
Clarendon,Calvary,Clarendon: Calvary,0,246,94,346
Clarendon,Davis Station,Clarendon: Davis Station,0,528,847,1387
Clarendon,Harmony,Clarendon: Harmony,0,210,294,510
Clarendon,Hicks,Clarendon: Hicks,0,72,431,508
Clarendon,Home Branch,Clarendon: Home Branch,0,32,201,236
Clarendon,Jordan,Clarendon: Jordan,0,565,1550,2130
Clarendon,Manning No. 1,Clarendon: Manning No 1,0,287,169,461
Clarendon,Manning No. 2,Clarendon: Manning No 2,0,353,300,656
Clarendon,Manning No. 3,Clarendon: Manning No 3,0,433,679,1122
Clarendon,Manning No. 4,Clarendon: Manning No 4,0,782,186,982
Clarendon,Manning No. 5,Clarendon: Manning No 5,0,377,306,701
Clarendon,New Zion,Clarendon: New Zion,0,112,231,346
Clarendon,Oakdale,Clarendon: Oakdale,0,69,136,208
Clarendon,Panola,Clarendon: Panola,0,106,55,162
Clarendon,Paxville,Clarendon: Paxville,0,383,292,689
Clarendon,Sardina-Gable,Clarendon: Sardina-Gable,0,124,78,204
Clarendon,Summerton No. 1,Clarendon: Summerton No 1,0,590,1092,1708
Clarendon,Summerton No. 2,Clarendon: Summerton No 2,0,207,60,270
Clarendon,Summerton No. 3,Clarendon: Summerton No 3,0,480,155,643
Clarendon,Turbeville,Clarendon: Turbeville,0,168,559,736
Clarendon,Wilson Foreston,Clarendon: Wilson Foreston,0,486,357,855
Colleton,Ashton-Lodge,Colleton: Ashton-Lodge,429,72,263,344
Colleton,Bells,Colleton: Bells,250,65,147,213
Colleton,Berea-Smoaks,Colleton: Berea-Smoaks,809,297,292,593
Colleton,Canadys,Colleton: Canadys,514,175,241,423
Colleton,Cottageville,Colleton: Cottageville,1612,365,798,1177
Colleton,Edisto,Colleton: Edisto,308,114,89,206
Colleton,Edisto Beach,Colleton: Edisto Beach,1167,283,690,982
Colleton,Green Pond,Colleton: Green Pond,794,412,194,615
Colleton,Hendersonville,Colleton: Hendersonville,948,410,316,734
Colleton,Horse Pen,Colleton: Horse Pen,580,140,284,426
Colleton,Hudson Mill,Colleton: Hudson Mill,541,118,297,419
Colleton,Jacksonboro,Colleton: Jacksonboro,304,162,69,233
Colleton,Maple Cane,Colleton: Maple Cane,975,134,619,756
Colleton,Mashawville,Colleton: Mashawville,707,270,285,560
Colleton,Peeples,Colleton: Peeples,1081,280,457,746
Colleton,Peniel,Colleton: Peniel,979,257,341,604
Colleton,Petits,Colleton: Petits,228,69,125,197
Colleton,Rice Patch,Colleton: Rice Patch,598,156,313,473
Colleton,Ritter,Colleton: Ritter,624,290,162,455
Colleton,Round O,Colleton: Round O,970,226,485,717
Colleton,Ruffin,Colleton: Ruffin,237,83,96,181
Colleton,Sidneys,Colleton: Sidneys,609,94,350,448
Colleton,Sniders,Colleton: Sniders,628,123,367,496
Colleton,Stokes,Colleton: Stokes,622,107,380,490
Colleton,Walterboro No. 1,Colleton: Walterboro No 1,1232,448,431,892
Colleton,Walterboro No. 2,Colleton: Walterboro No 2,1017,370,270,649
Colleton,Walterboro No. 3,Colleton: Walterboro No 3,1269,643,194,846
Colleton,Walterboro No. 4,Colleton: Walterboro No 4,1386,377,611,1007
Colleton,Walterboro No. 5,Colleton: Walterboro No 5,1449,359,780,1148
Colleton,Walterboro No. 6,Colleton: Walterboro No 6,1132,353,353,720
Colleton,Williams,Colleton: Williams,273,70,133,206
Colleton,Wolf Creek,Colleton: Wolf Creek,364,46,257,305
Darlington,Antioch,Darlington: Antioch,1538,397,803,1212
Darlington,Auburn,Darlington: Auburn,555,300,101,412
Darlington,Bethel,Darlington: Bethel,605,177,283,463
Darlington,Black Creek-Clyde,Darlington: Black Creek-Clyde,1106,203,670,883
Darlington,Burnt Branch,Darlington: Burnt Branch,688,155,365,523
Darlington,Darlington No. 1,Darlington: Darlington No 1,280,95,78,176
Darlington,Darlington No. 2,Darlington: Darlington No 2,1326,545,331,883
Darlington,Darlington No. 3,Darlington: Darlington No 3,2556,795,1194,2008
Darlington,Darlington No. 4,Darlington: Darlington No 4,1309,563,342,912
Darlington,Darlington No. 5,Darlington: Darlington No 5,1435,769,155,933
Darlington,Darlington No. 6,Darlington: Darlington No 6,1481,425,622,1060
Darlington,Dovesville,Darlington: Dovesville,1292,547,409,968
Darlington,Hartsville No. 1,Darlington: Hartsville No 1,1218,327,608,950
Darlington,Hartsville No. 4,Darlington: Hartsville No 4,868,321,166,498
Darlington,Hartsville No. 5,Darlington: Hartsville No 5,2356,719,992,1730
Darlington,Hartsville No. 6,Darlington: Hartsville No 6,1314,737,33,783
Darlington,Hartsville No. 7,Darlington: Hartsville No 7,954,270,330,604
Darlington,Hartsville No. 8,Darlington: Hartsville No 8,2518,421,1569,2009
Darlington,Hartsville No. 9,Darlington: Hartsville No 9,1534,440,724,1180
Darlington,High Hill,Darlington: High Hill,2580,882,987,1887
Darlington,Indian Branch,Darlington: Indian Branch,598,121,338,464
Darlington,Kelleytown,Darlington: Kelleytown,1759,334,1139,1494
Darlington,Lake Swamp,Darlington: Lake Swamp,1256,380,604,994
Darlington,Lamar No. 1,Darlington: Lamar No 1,737,346,225,575
Darlington,Lamar No. 2,Darlington: Lamar No 2,1370,392,717,1117
Darlington,Lydia,Darlington: Lydia,608,268,188,461
Darlington,Mechanicsville,Darlington: Mechanicsville,1532,553,625,1192
Darlington,New Market,Darlington: New Market,944,109,631,747
Darlington,Oates,Darlington: Oates,922,222,519,750
Darlington,Palmetto,Darlington: Palmetto,1758,651,642,1306
Darlington,Society Hill,Darlington: Society Hill,665,297,173,477
Darlington,Swift Creek,Darlington: Swift Creek,862,204,444,658
Dillon,Bermuda,Dillon: Bermuda,261,63,126,189
Dillon,Carolina,Dillon: Carolina,319,95,90,186
Dillon,East Dillon,Dillon: East Dillon,1805,290,1173,1468
Dillon,Floydale,Dillon: Floydale,569,70,377,452
Dillon,Fork,Dillon: Fork,356,63,257,320
Dillon,Hamer,Dillon: Hamer,753,206,344,560
Dillon,Kemper,Dillon: Kemper,432,125,196,327
Dillon,Lake View,Dillon: Lake View,1142,326,536,872
Dillon,Latta,Dillon: Latta,2530,805,930,1750
Dillon,Little Rock,Dillon: Little Rock,573,241,167,410
Dillon,Manning,Dillon: Manning,333,82,143,226
Dillon,Minturn,Dillon: Minturn,170,70,67,137
Dillon,Mt. Calvary,Dillon: Mt. Calvary,1701,693,456,1159
Dillon,New Holly,Dillon: New Holly,361,75,193,268
Dillon,Oak Grove,Dillon: Oak Grove,1004,164,512,680
Dillon,Oakland,Dillon: Oakland,827,330,257,596
Dillon,Pleasant Hill,Dillon: Pleasant Hill,368,77,211,289
Dillon,South Dillon,Dillon: South Dillon,1457,687,193,888
Dillon,West Dillon,Dillon: West Dillon,1960,778,297,1082
Dorchester,Archdale,Dorchester: Archdale,1275,407,363,790
Dorchester,Archdale 2,Dorchester: Archdale 2,1637,464,508,982
Dorchester,Ashborough East,Dorchester: Ashborough East,1349,393,344,745
Dorchester,Ashborough East 2,Dorchester: Ashborough East 2,901,174,464,650
Dorchester,Ashborough West,Dorchester: Ashborough West,633,141,214,357
Dorchester,Ashborough West 2,Dorchester: Ashborough West 2,1231,290,542,848
Dorchester,Ashley River,Dorchester: Ashley River,2599,786,803,1617
Dorchester,Bacons Bridge,Dorchester: Bacons Bridge,2862,731,1153,1912
Dorchester,Bacons Bridge 2,Dorchester: Bacons Bridge 2,1484,430,621,1069
Dorchester,Beech Hill,Dorchester: Beech Hill,1734,423,861,1294
Dorchester,Beech Hill 2,Dorchester: Beech Hill 2,3350,860,1590,2494
Dorchester,Brandymill,Dorchester: Brandymill,763,187,304,500
Dorchester,Brandymill 2,Dorchester: Brandymill 2,1421,361,424,797
Dorchester,Briarwood,Dorchester: Briarwood,1388,302,393,704
Dorchester,Briarwood 2,Dorchester: Briarwood 2,1112,293,412,715
Dorchester,Briarwood 3,Dorchester: Briarwood 3,799,180,308,498
Dorchester,Butternut,Dorchester: Butternut,2455,610,1053,1691
Dorchester,Carolina,Dorchester: Carolina,2209,623,559,1194
Dorchester,Central,Dorchester: Central,1749,383,756,1151
Dorchester,Central 2,Dorchester: Central 2,1750,412,606,1032
Dorchester,Clemson,Dorchester: Clemson,1925,364,927,1379
Dorchester,Clemson 2,Dorchester: Clemson 2,2989,680,923,1817
Dorchester,Clemson 3,Dorchester: Clemson 3,1790,389,473,955
Dorchester,Coastal,Dorchester: Coastal,1366,438,294,742
Dorchester,Coastal 2,Dorchester: Coastal 2,1714,433,605,1047
Dorchester,Coastal 3,Dorchester: Coastal 3,781,214,256,475
Dorchester,Coosaw,Dorchester: Coosaw,3306,950,1096,2083
Dorchester,Coosaw 2,Dorchester: Coosaw 2,2527,758,668,1450
Dorchester,Coosaw 3,Dorchester: Coosaw 3,1626,378,531,924
Dorchester,Cypress,Dorchester: Cypress,3178,799,1173,1994
Dorchester,Cypress 2,Dorchester: Cypress 2,1234,274,549,833
Dorchester,Delemars,Dorchester: Delemars,1825,636,905,1556
Dorchester,Dorchester,Dorchester: Dorchester,1301,338,451,796
Dorchester,Dorchester 2,Dorchester: Dorchester 2,1060,273,510,799
Dorchester,Flowertown,Dorchester: Flowertown,3721,964,1838,2838
Dorchester,Flowertown 2,Dorchester: Flowertown 2,1548,332,547,897
Dorchester,Flowertown 3,Dorchester: Flowertown 3,1598,409,559,981
Dorchester,Four Hole,Dorchester: Four Hole,1120,281,474,762
Dorchester,Germantown,Dorchester: Germantown,1561,393,570,979
Dorchester,Givhans,Dorchester: Givhans,1054,218,484,709
Dorchester,Givhans 2,Dorchester: Givhans 2,1285,341,581,931
Dorchester,Greenhurst,Dorchester: Greenhurst,1377,381,421,813
Dorchester,Greenwave,Dorchester: Greenwave,1403,288,381,678
Dorchester,Grover,Dorchester: Grover,907,245,385,636
Dorchester,Harleyville,Dorchester: Harleyville,718,156,327,489
Dorchester,Indian Field,Dorchester: Indian Field,629,241,166,414
Dorchester,Indian Field 2,Dorchester: Indian Field 2,907,302,291,599
Dorchester,Irongate,Dorchester: Irongate,740,156,346,510
Dorchester,Irongate 2,Dorchester: Irongate 2,499,114,150,266
Dorchester,Irongate 3,Dorchester: Irongate 3,668,147,268,420
Dorchester,King'S Grant,Dorchester: King's Grant,1738,560,620,1193
Dorchester,King'S Grant 2,Dorchester: King's Grant 2,2149,687,734,1442
Dorchester,Knightsville,Dorchester: Knightsville,1575,309,641,959
Dorchester,Lincoln,Dorchester: Lincoln,1718,502,232,746
Dorchester,Miles/Jamison,Dorchester: Miles/Jamison,2330,644,808,1473
Dorchester,Newington,Dorchester: Newington,1198,271,561,850
Dorchester,Newington 2,Dorchester: Newington 2,814,160,378,542
Dorchester,North Summerville,Dorchester: North Summerville,506,135,209,349
Dorchester,North Summerville 2,Dorchester: North Summerville 2,1493,580,303,899
Dorchester,Oakbrook,Dorchester: Oakbrook,4346,1265,1164,2469
Dorchester,Oakbrook 2,Dorchester: Oakbrook 2,1451,436,472,927
Dorchester,Patriot,Dorchester: Patriot,2045,748,311,1077
Dorchester,Reevesville,Dorchester: Reevesville,1048,284,431,726
Dorchester,Ridgeville,Dorchester: Ridgeville,1200,283,558,849
Dorchester,Ridgeville 2,Dorchester: Ridgeville 2,673,210,222,435
Dorchester,Rosinville,Dorchester: Rosinville,1372,403,533,948
Dorchester,Rosses,Dorchester: Rosses,1055,243,485,739
Dorchester,Saul Dam,Dorchester: Saul Dam,1433,363,734,1111
Dorchester,Sawmill Branch,Dorchester: Sawmill Branch,1604,351,713,1074
Dorchester,Spann,Dorchester: Spann,1407,324,644,988
Dorchester,St. George No. 1,Dorchester: St. George No 1,1221,387,423,813
Dorchester,St. George No. 2,Dorchester: St. George No 2,795,190,279,483
Dorchester,Stallsville,Dorchester: Stallsville,1153,260,487,761
Dorchester,Tranquil,Dorchester: Tranquil,823,182,258,446
Dorchester,Tranquil 2,Dorchester: Tranquil 2,1560,482,384,888
Dorchester,Tranquil 3,Dorchester: Tranquil 3,1421,339,304,651
Dorchester,Trolley,Dorchester: Trolley,1591,371,330,706
Dorchester,Tupperway,Dorchester: Tupperway,1019,217,372,599
Dorchester,Tupperway 2,Dorchester: Tupperway 2,1189,284,380,678
Dorchester,Windsor,Dorchester: Windsor,962,330,295,634
Dorchester,Windsor 2,Dorchester: Windsor 2,803,347,147,497
Edgefield,Brunson,Edgefield: Brunson,547,250,188,443
Edgefield,Edgefield No.1,Edgefield: Edgefield No1,871,233,466,709
Edgefield,Edgefield No.2,Edgefield: Edgefield No2,1805,584,683,1281
Edgefield,Harmony,Edgefield: Harmony,919,173,593,774
Edgefield,Johnston No.1,Edgefield: Johnston No1,1205,437,393,842
Edgefield,Johnston No.2,Edgefield: Johnston No2,1139,396,381,787
Edgefield,Merriweather No.1,Edgefield: Merriweather No1,3020,527,1984,2541
Edgefield,Merriweather No.2,Edgefield: Merriweather No2,3455,607,2137,2775
Edgefield,North Side,Edgefield: North Side,451,173,185,359
Edgefield,Trenton No.1,Edgefield: Trenton No1,1131,347,486,838
Edgefield,Trenton No.2,Edgefield: Trenton No2,2242,862,790,1688
Edgefield,Westside,Edgefield: Westside,1005,69,802,877
Fairfield,Blackstock,Fairfield: Blackstock,74,36,16,52
Fairfield,Blairs,Fairfield: Blairs,420,229,75,306
Fairfield,Centerville,Fairfield: Centerville,318,68,157,229
Fairfield,Dutchmans Creek,Fairfield: Dutchmans Creek,1537,362,850,1227
Fairfield,Feasterville,Fairfield: Feasterville,269,132,61,196
Fairfield,Gladden Grove,Fairfield: Gladden Grove,60,18,29,47
Fairfield,Greenbrier,Fairfield: Greenbrier,1870,798,562,1377
Fairfield,Hickory Ridge,Fairfield: Hickory Ridge,872,369,228,604
Fairfield,Horeb-Glenn,Fairfield: Horeb-Glenn,339,186,44,230
Fairfield,Jenkinsville,Fairfield: Jenkinsville,572,300,107,413
Fairfield,Lebanon,Fairfield: Lebanon,714,254,270,529
Fairfield,Mitford,Fairfield: Mitford,707,222,280,509
Fairfield,Monticello,Fairfield: Monticello,583,242,158,407
Fairfield,New Hope,Fairfield: New Hope,67,17,32,49
Fairfield,Ridgeway,Fairfield: Ridgeway,2172,968,568,1557
Fairfield,Simpson,Fairfield: Simpson,915,321,349,683
Fairfield,South Winnsboro,Fairfield: South Winnsboro,723,354,96,453
Fairfield,White Oak,Fairfield: White Oak,259,129,48,182
Fairfield,Winnsboro Mills,Fairfield: Winnsboro Mills,873,248,187,452
Fairfield,Winnsboro No. 1,Fairfield: Winnsboro No 1,1338,579,277,865
Fairfield,Winnsboro No. 2,Fairfield: Winnsboro No 2,1025,365,360,730
Fairfield,Woodard,Fairfield: Woodard,131,69,25,94
Florence,Back Swamp,Florence: Back Swamp,568,100,226,330
Florence,Brookgreen,Florence: Brookgreen,547,308,94,408
Florence,Cartersville,Florence: Cartersville,663,201,299,504
Florence,Claussen,Florence: Claussen,1930,537,1027,1579
Florence,Coles Crossroads,Florence: Coles Crossroads,2572,933,1011,1967
Florence,Cowards No. 1,Florence: Cowards No 1,761,155,423,583
Florence,Cowards No. 2,Florence: Cowards No 2,893,154,508,665
Florence,Delmae No. 1,Florence: Delmae No 1,2061,708,641,1375
Florence,Delmae No. 2,Florence: Delmae No 2,1781,374,1032,1422
Florence,Ebenezer No. 1,Florence: Ebenezer No 1,3445,947,1798,2781
Florence,Ebenezer No. 2,Florence: Ebenezer No 2,3052,1080,1294,2407
Florence,Ebenezer No. 3,Florence: Ebenezer No 3,1622,461,811,1287
Florence,Effingham,Florence: Effingham,755,124,439,574
Florence,Elim-Glenwood,Florence: Elim-Glenwood,1628,304,934,1244
Florence,Evergreen,Florence: Evergreen,972,191,539,738
Florence,Florence Ward 1,Florence: Florence Ward 1,984,600,35,646
Florence,Florence Ward 10,Florence: Florence Ward 10,624,310,17,332
Florence,Florence Ward 11,Florence: Florence Ward 11,806,277,279,563
Florence,Florence Ward 12,Florence: Florence Ward 12,2322,576,1097,1701
Florence,Florence Ward 14,Florence: Florence Ward 14,2034,619,961,1612
Florence,Florence Ward 15,Florence: Florence Ward 15,357,165,56,227
Florence,Florence Ward 2,Florence: Florence Ward 2,985,444,53,511
Florence,Florence Ward 3,Florence: Florence Ward 3,1037,542,25,582
Florence,Florence Ward 4,Florence: Florence Ward 4,688,243,179,427
Florence,Florence Ward 5,Florence: Florence Ward 5,940,367,209,592
Florence,Florence Ward 6,Florence: Florence Ward 6,703,195,355,561
Florence,Florence Ward 7,Florence: Florence Ward 7,1806,507,793,1323
Florence,Florence Ward 8,Florence: Florence Ward 8,1785,441,995,1455
Florence,Florence Ward 9,Florence: Florence Ward 9,1223,736,30,778
Florence,Friendfield,Florence: Friendfield,496,50,357,408
Florence,Gilbert,Florence: Gilbert,1922,920,206,1141
Florence,Greenwood,Florence: Greenwood,2106,752,781,1559
Florence,Hannah,Florence: Hannah,598,57,429,491
Florence,High Hill,Florence: High Hill,457,79,269,350
Florence,Johnsonville,Florence: Johnsonville,1913,352,1048,1417
Florence,Kingsburg-Stone,Florence: Kingsburg-Stone,865,317,345,667
Florence,Lake City No. 1,Florence: Lake City No 1,1261,601,177,788
Florence,Lake City No. 2,Florence: Lake City No 2,1068,294,511,811
Florence,Lake City No. 3,Florence: Lake City No 3,1393,564,406,981
Florence,Lake City No. 4,Florence: Lake City No 4,1541,847,67,926
Florence,Leo,Florence: Leo,307,86,157,246
Florence,Mars Bluff No. 1,Florence: Mars Bluff No 1,2291,715,847,1581
Florence,Mars Bluff No. 2,Florence: Mars Bluff No 2,1453,376,678,1066
Florence,Mcallister Mill,Florence: Mcallister Mill,660,136,341,478
Florence,Mill Branch,Florence: Mill Branch,514,225,171,403
Florence,Oak Grove-Sardis,Florence: Oak Grove-Sardis,1016,129,674,809
Florence,Olanta,Florence: Olanta,1200,333,584,928
Florence,Pamplico No. 1,Florence: Pamplico No 1,1034,202,608,817
Florence,Pamplico No. 2,Florence: Pamplico No 2,540,210,154,375
Florence,Prospect,Florence: Prospect,309,19,252,274
Florence,Quinby,Florence: Quinby,856,439,161,614
Florence,Salem,Florence: Salem,493,33,346,380
Florence,Savannah Grove,Florence: Savannah Grove,3953,1564,1327,2925
Florence,Scranton,Florence: Scranton,762,204,318,527
Florence,South Florence 1,Florence: South Florence 1,2724,856,1014,1898
Florence,South Florence 2,Florence: South Florence 2,1757,872,245,1140
Florence,Spaulding,Florence: Spaulding,1026,720,39,764
Florence,Tans Bay,Florence: Tans Bay,1702,560,695,1278
Florence,Timmonsville 1,Florence: Timmonsville 1,1198,629,177,820
Florence,Timmonsville 2,Florence: Timmonsville 2,1284,449,466,926
Florence,Vox,Florence: Vox,555,77,336,418
Florence,West Florence 1,Florence: West Florence 1,3483,1064,1496,2599
Florence,West Florence 2,Florence: West Florence 2,1497,373,762,1147
Georgetown,Andrews,Georgetown: Andrews,1630,626,375,1029
Georgetown,Andrews Outside,Georgetown: Andrews Outside,1019,334,319,660
Georgetown,Bethel,Georgetown: Bethel,1084,89,701,795
Georgetown,Black River,Georgetown: Black River,1724,300,1011,1319
Georgetown,Brown'S Ferry,Georgetown: Brown's Ferry,1744,957,307,1279
Georgetown,Carver'S Bay,Georgetown: Carver's Bay,194,37,112,150
Georgetown,Choppee,Georgetown: Choppee,989,415,263,687
Georgetown,Dream Keepers,Georgetown: Dream Keepers,908,489,31,531
Georgetown,Folly Grove,Georgetown: Folly Grove,808,149,442,592
Georgetown,Georgetown No. 1,Georgetown: Georgetown No 1,924,294,397,705
Georgetown,Georgetown No. 3,Georgetown: Georgetown No 3,1385,619,106,741
Georgetown,Georgetown No. 4,Georgetown: Georgetown No 4,634,170,269,442
Georgetown,Georgetown No. 5,Georgetown: Georgetown No 5,1867,439,850,1305
Georgetown,Kensington,Georgetown: Kensington,1219,233,684,925
Georgetown,Lambert Town,Georgetown: Lambert Town,504,63,330,399
Georgetown,Murrell'S Inlet No. 1,Georgetown: Murrell's Inlet No 1,3792,870,2002,2912
Georgetown,Murrell'S Inlet No. 2,Georgetown: Murrell's Inlet No 2,2791,621,1307,1951
Georgetown,Murrell'S Inlet No. 3,Georgetown: Murrell's Inlet No 3,1023,195,499,697
Georgetown,Murrell'S Inlet No. 4,Georgetown: Murrell's Inlet No 4,1719,275,1004,1287
Georgetown,Myersville,Georgetown: Myersville,414,241,43,287
Georgetown,Pawley'S Island No. 1,Georgetown: Pawley's Island No 1,3580,966,1816,2816
Georgetown,Pawley'S Island No. 2,Georgetown: Pawley's Island No 2,3957,1252,1641,2937
Georgetown,Pawley'S Island No. 3,Georgetown: Pawley's Island No 3,2908,766,1449,2243
Georgetown,Pawley'S Island No. 4,Georgetown: Pawley's Island No 4,3161,705,1740,2480
Georgetown,Pawley'S Island No. 5,Georgetown: Pawley's Island No 5,3446,890,1863,2785
Georgetown,Pee Dee,Georgetown: Pee Dee,625,277,125,406
Georgetown,Penny Royal,Georgetown: Penny Royal,548,142,251,398
Georgetown,Plantersville,Georgetown: Plantersville,674,302,162,472
Georgetown,Pleasant Hill,Georgetown: Pleasant Hill,892,212,457,675
Georgetown,Potato Bed Ferry,Georgetown: Potato Bed Ferry,686,176,349,530
Georgetown,Sampit,Georgetown: Sampit,931,496,146,651
Georgetown,Santee,Georgetown: Santee,1126,552,173,734
Georgetown,Spring Gully,Georgetown: Spring Gully,1771,628,571,1214
Georgetown,Winyah Bay,Georgetown: Winyah Bay,929,171,513,688
Greenville,Aiken,Greenville: Aiken,1083,359,258,628
Greenville,Altamont Forest,Greenville: Altamont Forest,1305,326,781,1138
Greenville,Asheton Lakes,Greenville: Asheton Lakes,3176,853,1733,2628
Greenville,Avon,Greenville: Avon,1545,389,819,1238
Greenville,Baker Creek,Greenville: Baker Creek,1313,240,789,1041
Greenville,Belle Meade,Greenville: Belle Meade,1487,790,105,912
