County,Precinct,JoinField,Trump,Harris,Total
SALT LAKE,RIV024,SALT LAKE: RIV024,567,229,840
SALT LAKE,RIV025,SALT LAKE: RIV025,309,126,462
SALT LAKE,RIV026,SALT LAKE: RIV026,609,259,929
SALT LAKE,RIV027,SALT LAKE: RIV027,522,315,903
SALT LAKE,RIV028,SALT LAKE: RIV028,504,190,744
SALT LAKE,RIV029,SALT LAKE: RIV029,98,76,179
SALT LAKE,RIV030,SALT LAKE: RIV030,264,57,330
SALT LAKE,RIV031,SALT LAKE: RIV031,402,231,676
SALT LAKE,RIV032,SALT LAKE: RIV032,454,211,711
SALT LAKE,RIV033,SALT LAKE: RIV033,641,295,988
SALT LAKE,RIV034,SALT LAKE: RIV034,320,186,530
SALT LAKE,RIV035,SALT LAKE: RIV035,4,1,5
SALT LAKE,SAN001,SALT LAKE: SAN001,314,479,825
SALT LAKE,SAN002,SALT LAKE: SAN002,24,22,48
SALT LAKE,SAN003,SALT LAKE: SAN003,394,441,867
SALT LAKE,SAN004,SALT LAKE: SAN004,206,262,500
SALT LAKE,SAN005,SALT LAKE: SAN005,259,237,528
SALT LAKE,SAN006,SALT LAKE: SAN006,246,313,583
SALT LAKE,SAN007,SALT LAKE: SAN007,10,3,14
SALT LAKE,SAN008,SALT LAKE: SAN008,0,1,1
SALT LAKE,SAN009,SALT LAKE: SAN009,266,310,599
SALT LAKE,SAN010,SALT LAKE: SAN010,240,298,567
SALT LAKE,SAN011,SALT LAKE: SAN011,328,418,801
SALT LAKE,SAN012,SALT LAKE: SAN012,180,242,455
SALT LAKE,SAN013,SALT LAKE: SAN013,432,502,974
SALT LAKE,SAN014,SALT LAKE: SAN014,451,461,975
SALT LAKE,SAN015,SALT LAKE: SAN015,451,469,980
SALT LAKE,SAN016,SALT LAKE: SAN016,117,176,306
SALT LAKE,SAN017,SALT LAKE: SAN017,103,125,250
SALT LAKE,SAN018,SALT LAKE: SAN018,220,200,438
SALT LAKE,SAN019,SALT LAKE: SAN019,315,424,775
SALT LAKE,SAN020,SALT LAKE: SAN020,394,448,898
SALT LAKE,SAN021,SALT LAKE: SAN021,252,281,564
SALT LAKE,SAN022,SALT LAKE: SAN022,146,203,374
SALT LAKE,SAN023,SALT LAKE: SAN023,367,355,775
SALT LAKE,SAN024,SALT LAKE: SAN024,325,398,774
SALT LAKE,SAN025,SALT LAKE: SAN025,383,486,919
SALT LAKE,SAN026,SALT LAKE: SAN026,433,538,1029
SALT LAKE,SAN027,SALT LAKE: SAN027,167,290,479
SALT LAKE,SAN028,SALT LAKE: SAN028,271,253,541
SALT LAKE,SAN029,SALT LAKE: SAN029,445,409,905
SALT LAKE,SAN030,SALT LAKE: SAN030,389,426,866
SALT LAKE,SAN031,SALT LAKE: SAN031,304,415,753
SALT LAKE,SAN032,SALT LAKE: SAN032,265,294,581
SALT LAKE,SAN033,SALT LAKE: SAN033,306,446,796
SALT LAKE,SAN034,SALT LAKE: SAN034,408,408,873
SALT LAKE,SAN035,SALT LAKE: SAN035,405,532,988
SALT LAKE,SAN036,SALT LAKE: SAN036,345,449,824
SALT LAKE,SAN037,SALT LAKE: SAN037,343,456,842
SALT LAKE,SAN038,SALT LAKE: SAN038,459,572,1086
SALT LAKE,SAN039,SALT LAKE: SAN039,116,161,296
SALT LAKE,SAN040,SALT LAKE: SAN040,402,452,890
SALT LAKE,SAN041,SALT LAKE: SAN041,480,502,1022
SALT LAKE,SAN042,SALT LAKE: SAN042,12,8,21
SALT LAKE,SAN043,SALT LAKE: SAN043,381,510,940
SALT LAKE,SAN044,SALT LAKE: SAN044,319,408,765
SALT LAKE,SAN045,SALT LAKE: SAN045,485,549,1093
SALT LAKE,SAN046,SALT LAKE: SAN046,283,368,680
SALT LAKE,SAN047,SALT LAKE: SAN047,314,440,788
SALT LAKE,SAN048,SALT LAKE: SAN048,492,320,853
SALT LAKE,SAN049,SALT LAKE: SAN049,241,197,480
SALT LAKE,SAN050,SALT LAKE: SAN050,398,253,684
SALT LAKE,SAN051,SALT LAKE: SAN051,414,384,854
SALT LAKE,SAN052,SALT LAKE: SAN052,270,211,516
SALT LAKE,SAN053,SALT LAKE: SAN053,237,227,489
SALT LAKE,SAN054,SALT LAKE: SAN054,571,370,997
SALT LAKE,SAN055,SALT LAKE: SAN055,495,326,888
SALT LAKE,SAN056,SALT LAKE: SAN056,535,591,1188
SALT LAKE,SAN057,SALT LAKE: SAN057,353,393,791
SALT LAKE,SAN058,SALT LAKE: SAN058,490,414,951
SALT LAKE,SAN059,SALT LAKE: SAN059,291,276,603
SALT LAKE,SAN060,SALT LAKE: SAN060,399,389,845
SALT LAKE,SAN061,SALT LAKE: SAN061,454,428,918
SALT LAKE,SAN062,SALT LAKE: SAN062,516,482,1042
SALT LAKE,SAN063,SALT LAKE: SAN063,477,398,939
SALT LAKE,SAN064,SALT LAKE: SAN064,285,319,629
SALT LAKE,SAN065,SALT LAKE: SAN065,502,416,977
SALT LAKE,SAN066,SALT LAKE: SAN066,3,3,6
SALT LAKE,SAN067,SALT LAKE: SAN067,227,209,456
SALT LAKE,SAN068,SALT LAKE: SAN068,1,2,3
SALT LAKE,SAN069,SALT LAKE: SAN069,17,12,30
SALT LAKE,SAN070,SALT LAKE: SAN070,194,146,367
SALT LAKE,SAN071,SALT LAKE: SAN071,4,12,19
SALT LAKE,SAN072,SALT LAKE: SAN072,5,10,16
SALT LAKE,SAN073,SALT LAKE: SAN073,122,147,293
SALT LAKE,SAN074,SALT LAKE: SAN074,10,5,17
SALT LAKE,SAN075,SALT LAKE: SAN075,95,64,167
SALT LAKE,SAN076,SALT LAKE: SAN076,56,99,166
SALT LAKE,SAN077,SALT LAKE: SAN077,34,67,110
SALT LAKE,SAN078,SALT LAKE: SAN078,100,105,213
SALT LAKE,SAN079,SALT LAKE: SAN079,0,0,0
SALT LAKE,SAN080,SALT LAKE: SAN080,2,7,10
SALT LAKE,SAN081,SALT LAKE: SAN081,3,1,4
SALT LAKE,SAN082,SALT LAKE: SAN082,108,158,279
SALT LAKE,SAN083,SALT LAKE: SAN083,65,101,174
SALT LAKE,SAN084,SALT LAKE: SAN084,0,0,0
SALT LAKE,SAN085,SALT LAKE: SAN085,196,207,421
SALT LAKE,SAN086,SALT LAKE: SAN086,4,2,6
SALT LAKE,SAN087,SALT LAKE: SAN087,18,11,29
SALT LAKE,SAN088,SALT LAKE: SAN088,142,137,296
SALT LAKE,SAN089,SALT LAKE: SAN089,6,27,34
SALT LAKE,SAN090,SALT LAKE: SAN090,21,44,66
SALT LAKE,SAN091,SALT LAKE: SAN091,43,71,121
SALT LAKE,SAN092,SALT LAKE: SAN092,73,79,163
SALT LAKE,SAN901,SALT LAKE: SAN901,0,0,0
SALT LAKE,SAN902,SALT LAKE: SAN902,0,0,0
SALT LAKE,SAN903,SALT LAKE: SAN903,0,0,0
SALT LAKE,SAN904,SALT LAKE: SAN904,0,0,0
SALT LAKE,SAN905,SALT LAKE: SAN905,0,0,0
SALT LAKE,SAN906,SALT LAKE: SAN906,0,0,0
SALT LAKE,SAN907,SALT LAKE: SAN907,0,0,0
SALT LAKE,SAN908,SALT LAKE: SAN908,0,0,0
SALT LAKE,SAN909,SALT LAKE: SAN909,0,0,0
SALT LAKE,SAN910,SALT LAKE: SAN910,0,0,0
SALT LAKE,SHL001,SALT LAKE: SHL001,37,55,97
SALT LAKE,SHL002,SALT LAKE: SHL002,64,69,140
SALT LAKE,SHL003,SALT LAKE: SHL003,141,201,357
SALT LAKE,SHL004,SALT LAKE: SHL004,161,194,375
SALT LAKE,SHL005,SALT LAKE: SHL005,81,60,151
SALT LAKE,SIL001,SALT LAKE: SIL001,3,5,8
SALT LAKE,SIL002,SALT LAKE: SIL002,0,1,1
SALT LAKE,SIL003,SALT LAKE: SIL003,0,1,1
SALT LAKE,SIL004,SALT LAKE: SIL004,5,12,17
SALT LAKE,SIL005,SALT LAKE: SIL005,5,4,9
SALT LAKE,SIL006,SALT LAKE: SIL006,31,35,72
SALT LAKE,SIL007,SALT LAKE: SIL007,6,6,13
SALT LAKE,SIL008,SALT LAKE: SIL008,4,4,8
SALT LAKE,SIL009,SALT LAKE: SIL009,14,0,14
SALT LAKE,SIL010,SALT LAKE: SIL010,6,7,14
SALT LAKE,SIL011,SALT LAKE: SIL011,12,4,18
SALT LAKE,SIL012,SALT LAKE: SIL012,4,2,6
SALT LAKE,SJD001,SALT LAKE: SJD001,60,43,112
SALT LAKE,SJD002,SALT LAKE: SJD002,310,235,573
SALT LAKE,SJD003,SALT LAKE: SJD003,275,179,484
SALT LAKE,SJD004,SALT LAKE: SJD004,464,266,791
SALT LAKE,SJD005,SALT LAKE: SJD005,396,194,616
SALT LAKE,SJD006,SALT LAKE: SJD006,59,30,90
SALT LAKE,SJD007,SALT LAKE: SJD007,528,319,906
SALT LAKE,SJD008,SALT LAKE: SJD008,463,299,825
SALT LAKE,SJD009,SALT LAKE: SJD009,355,258,645
SALT LAKE,SJD010,SALT LAKE: SJD010,240,127,385
SALT LAKE,SJD011,SALT LAKE: SJD011,203,116,343
SALT LAKE,SJD012,SALT LAKE: SJD012,231,184,452
SALT LAKE,SJD013,SALT LAKE: SJD013,68,54,126
SALT LAKE,SJD014,SALT LAKE: SJD014,74,108,191
SALT LAKE,SJD015,SALT LAKE: SJD015,548,326,926
SALT LAKE,SJD016,SALT LAKE: SJD016,412,525,980
SALT LAKE,SJD017,SALT LAKE: SJD017,447,318,831
SALT LAKE,SJD018,SALT LAKE: SJD018,524,231,804
SALT LAKE,SJD019,SALT LAKE: SJD019,508,255,803
SALT LAKE,SJD020,SALT LAKE: SJD020,498,250,791
SALT LAKE,SJD021,SALT LAKE: SJD021,479,257,809
SALT LAKE,SJD022,SALT LAKE: SJD022,437,238,723
SALT LAKE,SJD023,SALT LAKE: SJD023,553,286,913
SALT LAKE,SJD024,SALT LAKE: SJD024,559,369,976
SALT LAKE,SJD025,SALT LAKE: SJD025,87,155,248
SALT LAKE,SJD026,SALT LAKE: SJD026,734,762,1573
SALT LAKE,SJD027,SALT LAKE: SJD027,343,393,766
SALT LAKE,SJD028,SALT LAKE: SJD028,284,315,650
SALT LAKE,SJD029,SALT LAKE: SJD029,376,450,861
SALT LAKE,SJD030,SALT LAKE: SJD030,394,411,866
SALT LAKE,SJD031,SALT LAKE: SJD031,410,448,881
SALT LAKE,SJD032,SALT LAKE: SJD032,484,312,848
SALT LAKE,SJD033,SALT LAKE: SJD033,311,397,758
SALT LAKE,SJD034,SALT LAKE: SJD034,300,355,711
SALT LAKE,SJD035,SALT LAKE: SJD035,288,319,632
SALT LAKE,SJD036,SALT LAKE: SJD036,262,235,526
SALT LAKE,SJD037,SALT LAKE: SJD037,465,370,886
SALT LAKE,SJD038,SALT LAKE: SJD038,509,273,833
SALT LAKE,SJD039,SALT LAKE: SJD039,212,102,344
SALT LAKE,SJD040,SALT LAKE: SJD040,430,213,677
SALT LAKE,SJD041,SALT LAKE: SJD041,247,178,459
SALT LAKE,SJD042,SALT LAKE: SJD042,193,103,316
SALT LAKE,SJD043,SALT LAKE: SJD043,371,247,666
SALT LAKE,SJD044,SALT LAKE: SJD044,428,399,873
SALT LAKE,SJD045,SALT LAKE: SJD045,301,271,590
SALT LAKE,SJD046,SALT LAKE: SJD046,267,322,618
SALT LAKE,SJD047,SALT LAKE: SJD047,547,247,856
SALT LAKE,SJD048,SALT LAKE: SJD048,510,231,781
SALT LAKE,SJD049,SALT LAKE: SJD049,456,261,754
SALT LAKE,SJD050,SALT LAKE: SJD050,476,218,730
SALT LAKE,SJD051,SALT LAKE: SJD051,576,406,1040
SALT LAKE,SJD052,SALT LAKE: SJD052,359,235,638
SALT LAKE,SJD053,SALT LAKE: SJD053,298,362,701
SALT LAKE,SJD054,SALT LAKE: SJD054,561,225,827
SALT LAKE,SJD055,SALT LAKE: SJD055,377,521,941
SALT LAKE,SJD056,SALT LAKE: SJD056,417,425,886
SALT LAKE,SJD057,SALT LAKE: SJD057,262,258,543
SALT LAKE,SJD058,SALT LAKE: SJD058,70,91,175
SALT LAKE,SJD059,SALT LAKE: SJD059,239,76,338
SALT LAKE,SJD060,SALT LAKE: SJD060,433,265,736
SALT LAKE,SJD061,SALT LAKE: SJD061,450,258,767
SALT LAKE,SJD062,SALT LAKE: SJD062,424,424,884
SALT LAKE,SJD063,SALT LAKE: SJD063,364,205,609
SALT LAKE,SJD064,SALT LAKE: SJD064,339,383,759
SALT LAKE,SJD901,SALT LAKE: SJD901,1,0,1
SALT LAKE,SLC001,SALT LAKE: SLC001,330,501,862
SALT LAKE,SLC002,SALT LAKE: SLC002,0,2,2
SALT LAKE,SLC003,SALT LAKE: SLC003,218,386,630
SALT LAKE,SLC004,SALT LAKE: SLC004,239,661,938
SALT LAKE,SLC005,SALT LAKE: SLC005,198,535,758
SALT LAKE,SLC006,SALT LAKE: SLC006,175,687,901
SALT LAKE,SLC007,SALT LAKE: SLC007,67,525,627
SALT LAKE,SLC008,SALT LAKE: SLC008,184,610,845
SALT LAKE,SLC009,SALT LAKE: SLC009,305,488,840
SALT LAKE,SLC010,SALT LAKE: SLC010,219,478,731
SALT LAKE,SLC011,SALT LAKE: SLC011,248,733,1041
SALT LAKE,SLC012,SALT LAKE: SLC012,134,547,717
SALT LAKE,SLC013,SALT LAKE: SLC013,82,600,721
SALT LAKE,SLC014,SALT LAKE: SLC014,101,472,612
SALT LAKE,SLC015,SALT LAKE: SLC015,122,556,704
SALT LAKE,SLC016,SALT LAKE: SLC016,221,375,631
SALT LAKE,SLC017,SALT LAKE: SLC017,128,411,577
SALT LAKE,SLC018,SALT LAKE: SLC018,146,376,547
SALT LAKE,SLC019,SALT LAKE: SLC019,26,187,224
SALT LAKE,SLC020,SALT LAKE: SLC020,128,812,991
SALT LAKE,SLC021,SALT LAKE: SLC021,113,882,1030
SALT LAKE,SLC022,SALT LAKE: SLC022,117,881,1033
SALT LAKE,SLC023,SALT LAKE: SLC023,166,589,793
SALT LAKE,SLC024,SALT LAKE: SLC024,130,221,365
SALT LAKE,SLC025,SALT LAKE: SLC025,8,22,30
SALT LAKE,SLC026,SALT LAKE: SLC026,34,149,195
SALT LAKE,SLC027,SALT LAKE: SLC027,38,136,184
SALT LAKE,SLC028,SALT LAKE: SLC028,218,383,632
SALT LAKE,SLC029,SALT LAKE: SLC029,62,217,293
SALT LAKE,SLC030,SALT LAKE: SLC030,49,194,250
SALT LAKE,SLC031,SALT LAKE: SLC031,216,432,685
SALT LAKE,SLC032,SALT LAKE: SLC032,212,367,609
SALT LAKE,SLC033,SALT LAKE: SLC033,63,305,382
SALT LAKE,SLC034,SALT LAKE: SLC034,260,577,900
SALT LAKE,SLC035,SALT LAKE: SLC035,107,657,804
SALT LAKE,SLC036,SALT LAKE: SLC036,117,805,971
SALT LAKE,SLC037,SALT LAKE: SLC037,159,856,1071
SALT LAKE,SLC038,SALT LAKE: SLC038,195,344,564
SALT LAKE,SLC039,SALT LAKE: SLC039,189,366,576
SALT LAKE,SLC040,SALT LAKE: SLC040,133,402,567
SALT LAKE,SLC041,SALT LAKE: SLC041,123,365,513
SALT LAKE,SLC042,SALT LAKE: SLC042,312,653,1031
SALT LAKE,SLC043,SALT LAKE: SLC043,214,661,909
SALT LAKE,SLC044,SALT LAKE: SLC044,117,563,721
SALT LAKE,SLC045,SALT LAKE: SLC045,221,753,1031
SALT LAKE,SLC046,SALT LAKE: SLC046,145,818,1020
SALT LAKE,SLC047,SALT LAKE: SLC047,150,286,454
SALT LAKE,SLC048,SALT LAKE: SLC048,141,623,802
SALT LAKE,SLC049,SALT LAKE: SLC049,132,647,826
SALT LAKE,SLC050,SALT LAKE: SLC050,215,607,860
SALT LAKE,SLC051,SALT LAKE: SLC051,198,444,684
SALT LAKE,SLC052,SALT LAKE: SLC052,200,422,650
SALT LAKE,SLC053,SALT LAKE: SLC053,32,23,59
SALT LAKE,SLC054,SALT LAKE: SLC054,179,400,608
SALT LAKE,SLC055,SALT LAKE: SLC055,72,268,362
SALT LAKE,SLC056,SALT LAKE: SLC056,143,675,869
SALT LAKE,SLC057,SALT LAKE: SLC057,150,569,762
SALT LAKE,SLC058,SALT LAKE: SLC058,84,613,741
SALT LAKE,SLC059,SALT LAKE: SLC059,145,721,902
SALT LAKE,SLC060,SALT LAKE: SLC060,32,146,186
SALT LAKE,SLC061,SALT LAKE: SLC061,125,477,630
SALT LAKE,SLC062,SALT LAKE: SLC062,144,451,625
SALT LAKE,SLC063,SALT LAKE: SLC063,2,9,13
SALT LAKE,SLC064,SALT LAKE: SLC064,11,80,95
SALT LAKE,SLC065,SALT LAKE: SLC065,234,535,809
SALT LAKE,SLC066,SALT LAKE: SLC066,153,309,489
SALT LAKE,SLC067,SALT LAKE: SLC067,123,208,349
SALT LAKE,SLC068,SALT LAKE: SLC068,143,559,738
SALT LAKE,SLC069,SALT LAKE: SLC069,94,558,682
SALT LAKE,SLC070,SALT LAKE: SLC070,118,642,799
SALT LAKE,SLC071,SALT LAKE: SLC071,73,744,859
SALT LAKE,SLC072,SALT LAKE: SLC072,74,730,843
SALT LAKE,SLC073,SALT LAKE: SLC073,89,619,732
SALT LAKE,SLC074,SALT LAKE: SLC074,122,773,936
SALT LAKE,SLC075,SALT LAKE: SLC075,179,886,1106
SALT LAKE,SLC076,SALT LAKE: SLC076,165,586,805
SALT LAKE,SLC077,SALT LAKE: SLC077,260,761,1088
SALT LAKE,SLC078,SALT LAKE: SLC078,197,332,564
SALT LAKE,SLC079,SALT LAKE: SLC079,273,280,581
SALT LAKE,SLC080,SALT LAKE: SLC080,148,478,655
SALT LAKE,SLC081,SALT LAKE: SLC081,76,329,428
SALT LAKE,SLC082,SALT LAKE: SLC082,114,712,865
SALT LAKE,SLC083,SALT LAKE: SLC083,84,635,751
SALT LAKE,SLC084,SALT LAKE: SLC084,97,664,787
SALT LAKE,SLC085,SALT LAKE: SLC085,102,726,852
SALT LAKE,SLC086,SALT LAKE: SLC086,99,642,783
SALT LAKE,SLC087,SALT LAKE: SLC087,111,829,978
SALT LAKE,SLC088,SALT LAKE: SLC088,143,963,1165
SALT LAKE,SLC089,SALT LAKE: SLC089,188,738,986
SALT LAKE,SLC090,SALT LAKE: SLC090,161,537,721
SALT LAKE,SLC091,SALT LAKE: SLC091,164,714,909
SALT LAKE,SLC092,SALT LAKE: SLC092,172,448,653
SALT LAKE,SLC093,SALT LAKE: SLC093,123,384,530
SALT LAKE,SLC094,SALT LAKE: SLC094,156,572,771
SALT LAKE,SLC095,SALT LAKE: SLC095,149,702,883
SALT LAKE,SLC096,SALT LAKE: SLC096,11,80,93
SALT LAKE,SLC097,SALT LAKE: SLC097,91,540,669
SALT LAKE,SLC098,SALT LAKE: SLC098,101,553,678
SALT LAKE,SLC099,SALT LAKE: SLC099,100,590,728
SALT LAKE,SLC100,SALT LAKE: SLC100,96,567,689
SALT LAKE,SLC101,SALT LAKE: SLC101,107,641,773
SALT LAKE,SLC102,SALT LAKE: SLC102,139,909,1084
SALT LAKE,SLC103,SALT LAKE: SLC103,126,480,626
SALT LAKE,SLC104,SALT LAKE: SLC104,196,708,946
SALT LAKE,SLC105,SALT LAKE: SLC105,66,200,274
SALT LAKE,SLC106,SALT LAKE: SLC106,168,515,725
SALT LAKE,SLC107,SALT LAKE: SLC107,156,540,721
SALT LAKE,SLC108,SALT LAKE: SLC108,164,550,737
SALT LAKE,SLC109,SALT LAKE: SLC109,117,466,613
SALT LAKE,SLC110,SALT LAKE: SLC110,62,305,383
SALT LAKE,SLC111,SALT LAKE: SLC111,192,758,978
SALT LAKE,SLC112,SALT LAKE: SLC112,123,448,609
SALT LAKE,SLC113,SALT LAKE: SLC113,286,525,870
SALT LAKE,SLC114,SALT LAKE: SLC114,224,412,686
SALT LAKE,SLC115,SALT LAKE: SLC115,184,559,768
SALT LAKE,SLC116,SALT LAKE: SLC116,5,10,15
SALT LAKE,SLC117,SALT LAKE: SLC117,186,642,859
SALT LAKE,SLC118,SALT LAKE: SLC118,151,730,925
SALT LAKE,SLC119,SALT LAKE: SLC119,268,835,1158
SALT LAKE,SLC120,SALT LAKE: SLC120,139,419,579
SALT LAKE,SLC121,SALT LAKE: SLC121,70,176,254
SALT LAKE,SLC122,SALT LAKE: SLC122,71,214,302
SALT LAKE,SLC123,SALT LAKE: SLC123,111,581,718
SALT LAKE,SLC124,SALT LAKE: SLC124,141,453,632
SALT LAKE,SLC125,SALT LAKE: SLC125,207,814,1068
SALT LAKE,SLC126,SALT LAKE: SLC126,116,296,431
SALT LAKE,SLC127,SALT LAKE: SLC127,10,23,33
SALT LAKE,SLC128,SALT LAKE: SLC128,21,73,98
SALT LAKE,SLC129,SALT LAKE: SLC129,1,8,12
SALT LAKE,SLC130,SALT LAKE: SLC130,84,256,358
SALT LAKE,SLC131,SALT LAKE: SLC131,27,83,111
SALT LAKE,SLC132,SALT LAKE: SLC132,14,31,50
SALT LAKE,SLC133,SALT LAKE: SLC133,15,112,137
SALT LAKE,SLC134,SALT LAKE: SLC134,60,138,206
SALT LAKE,SLC136,SALT LAKE: SLC136,31,105,138
SALT LAKE,SLC137,SALT LAKE: SLC137,67,306,390
SALT LAKE,SLC138,SALT LAKE: SLC138,126,397,547
SALT LAKE,SLC139,SALT LAKE: SLC139,62,266,354
SALT LAKE,SLC140,SALT LAKE: SLC140,60,214,288
SALT LAKE,SLC141,SALT LAKE: SLC141,30,281,328
SALT LAKE,SLC142,SALT LAKE: SLC142,167,287,476
SALT LAKE,SLC901,SALT LAKE: SLC901,0,0,0
SALT LAKE,SLC902,SALT LAKE: SLC902,0,0,0
SALT LAKE,SLC903,SALT LAKE: SLC903,0,0,0
SALT LAKE,SSL001,SALT LAKE: SSL001,145,357,525
SALT LAKE,SSL002,SALT LAKE: SSL002,0,1,1
SALT LAKE,SSL003,SALT LAKE: SSL003,160,561,759
SALT LAKE,SSL004,SALT LAKE: SSL004,155,582,774
SALT LAKE,SSL005,SALT LAKE: SSL005,110,353,486
SALT LAKE,SSL006,SALT LAKE: SSL006,123,395,541
SALT LAKE,SSL007,SALT LAKE: SSL007,52,55,117
SALT LAKE,SSL008,SALT LAKE: SSL008,92,279,382
SALT LAKE,SSL009,SALT LAKE: SSL009,186,501,728
SALT LAKE,SSL010,SALT LAKE: SSL010,86,208,310
SALT LAKE,SSL011,SALT LAKE: SSL011,221,566,821
SALT LAKE,SSL012,SALT LAKE: SSL012,228,549,802
SALT LAKE,SSL013,SALT LAKE: SSL013,128,478,636
SALT LAKE,SSL014,SALT LAKE: SSL014,37,173,220
SALT LAKE,SSL015,SALT LAKE: SSL015,126,230,381
SALT LAKE,SSL016,SALT LAKE: SSL016,71,197,278
SALT LAKE,SSL017,SALT LAKE: SSL017,12,18,32
SALT LAKE,SSL018,SALT LAKE: SSL018,39,49,96
SALT LAKE,SSL019,SALT LAKE: SSL019,71,169,259
SALT LAKE,SSL020,SALT LAKE: SSL020,65,210,289
SALT LAKE,SSL901,SALT LAKE: SSL901,0,0,0
SALT LAKE,SWT001,SALT LAKE: SWT001,28,19,50
SALT LAKE,SWT002,SALT LAKE: SWT002,317,175,513
SALT LAKE,TAY001,SALT LAKE: TAY001,90,180,285
SALT LAKE,TAY002,SALT LAKE: TAY002,277,338,650
SALT LAKE,TAY003,SALT LAKE: TAY003,324,413,773
SALT LAKE,TAY004,SALT LAKE: TAY004,271,496,798
SALT LAKE,TAY005,SALT LAKE: TAY005,284,349,660
SALT LAKE,TAY006,SALT LAKE: TAY006,306,436,781
SALT LAKE,TAY007,SALT LAKE: TAY007,127,172,316
SALT LAKE,TAY008,SALT LAKE: TAY008,294,300,627
SALT LAKE,TAY009,SALT LAKE: TAY009,464,473,963
SALT LAKE,TAY010,SALT LAKE: TAY010,235,300,557
SALT LAKE,TAY011,SALT LAKE: TAY011,402,316,771
SALT LAKE,TAY012,SALT LAKE: TAY012,343,336,710
SALT LAKE,TAY013,SALT LAKE: TAY013,273,380,682
SALT LAKE,TAY014,SALT LAKE: TAY014,247,456,735
SALT LAKE,TAY015,SALT LAKE: TAY015,457,417,921
SALT LAKE,TAY016,SALT LAKE: TAY016,267,339,624
SALT LAKE,TAY017,SALT LAKE: TAY017,198,317,540
SALT LAKE,TAY018,SALT LAKE: TAY018,382,355,773
SALT LAKE,TAY019,SALT LAKE: TAY019,266,266,559
SALT LAKE,TAY020,SALT LAKE: TAY020,13,23,38
SALT LAKE,TAY021,SALT LAKE: TAY021,349,396,776
SALT LAKE,TAY022,SALT LAKE: TAY022,359,367,763
SALT LAKE,TAY023,SALT LAKE: TAY023,252,183,465
SALT LAKE,TAY024,SALT LAKE: TAY024,279,309,623
SALT LAKE,TAY025,SALT LAKE: TAY025,205,309,537
SALT LAKE,TAY026,SALT LAKE: TAY026,254,273,564
SALT LAKE,TAY027,SALT LAKE: TAY027,275,360,653
SALT LAKE,TAY028,SALT LAKE: TAY028,491,509,1058
SALT LAKE,TAY029,SALT LAKE: TAY029,284,287,598
SALT LAKE,TAY030,SALT LAKE: TAY030,249,256,526
SALT LAKE,TAY031,SALT LAKE: TAY031,351,356,741
SALT LAKE,TAY032,SALT LAKE: TAY032,395,395,824
SALT LAKE,TAY033,SALT LAKE: TAY033,440,431,938
SALT LAKE,TAY034,SALT LAKE: TAY034,414,416,882
SALT LAKE,TAY035,SALT LAKE: TAY035,315,265,616
SALT LAKE,TAY036,SALT LAKE: TAY036,52,81,136
SALT LAKE,TAY037,SALT LAKE: TAY037,19,18,41
SALT LAKE,TAY038,SALT LAKE: TAY038,11,8,19
SALT LAKE,TAY039,SALT LAKE: TAY039,8,8,16
SALT LAKE,TAY040,SALT LAKE: TAY040,0,0,0
SALT LAKE,TAY041,SALT LAKE: TAY041,31,53,90
SALT LAKE,TAY042,SALT LAKE: TAY042,173,143,325
SALT LAKE,TAY043,SALT LAKE: TAY043,3,5,8
SALT LAKE,TAY044,SALT LAKE: TAY044,65,62,130
SALT LAKE,WCN001,SALT LAKE: WCN001,155,171,343
SALT LAKE,WCN002,SALT LAKE: WCN002,44,33,79
SALT LAKE,WCR001,SALT LAKE: WCR001,168,214,403
SALT LAKE,WCR002,SALT LAKE: WCR002,80,140,230
SALT LAKE,WCR003,SALT LAKE: WCR003,15,11,31
SALT LAKE,WHT001,SALT LAKE: WHT001,247,293,574
SALT LAKE,WHT002,SALT LAKE: WHT002,311,404,762
SALT LAKE,WHT003,SALT LAKE: WHT003,277,299,599
SALT LAKE,WHT004,SALT LAKE: WHT004,339,321,697
SALT LAKE,WJD001,SALT LAKE: WJD001,360,377,789
SALT LAKE,WJD002,SALT LAKE: WJD002,61,71,143
SALT LAKE,WJD003,SALT LAKE: WJD003,209,215,447
SALT LAKE,WJD004,SALT LAKE: WJD004,372,292,692
SALT LAKE,WJD005,SALT LAKE: WJD005,347,306,700
SALT LAKE,WJD006,SALT LAKE: WJD006,252,221,492
SALT LAKE,WJD007,SALT LAKE: WJD007,315,270,613
SALT LAKE,WJD008,SALT LAKE: WJD008,406,371,807
SALT LAKE,WJD009,SALT LAKE: WJD009,346,422,798
SALT LAKE,WJD010,SALT LAKE: WJD010,260,223,513
SALT LAKE,WJD011,SALT LAKE: WJD011,457,402,913
SALT LAKE,WJD012,SALT LAKE: WJD012,475,388,920
SALT LAKE,WJD013,SALT LAKE: WJD013,185,134,335
SALT LAKE,WJD014,SALT LAKE: WJD014,304,277,616
SALT LAKE,WJD015,SALT LAKE: WJD015,112,208,335
SALT LAKE,WJD016,SALT LAKE: WJD016,361,212,611
SALT LAKE,WJD017,SALT LAKE: WJD017,479,507,1027
SALT LAKE,WJD018,SALT LAKE: WJD018,357,330,717
SALT LAKE,WJD019,SALT LAKE: WJD019,540,320,916
SALT LAKE,WJD020,SALT LAKE: WJD020,371,245,644
